"","ensembl","beta","p.value","prod"
"2690","FBgn0029664",0.00492115363974136,0.458806141127171,0.0016651745842291
"6110","FBgn0035624",0.00206601562404939,0.458851808300128,0.000698990009376473
"7838","FBgn0038468",0.00551161237416742,0.458859438358031,0.00186469052161741
"5682","FBgn0034829",0.000758124172319924,0.458964965770154,0.000256413109522914
"1009","FBgn0010488",0.00124172203419692,0.459219979807952,0.000419676250600966
"1022","FBgn0010607",0.00543428646210678,0.459286970531758,0.00183633166411548
"6506","FBgn0036316",0.00115715557983195,0.459814552398004,0.000390444297680752
"11572","FBgn0266451",0.0122346008207706,0.45983072748789,0.00412797892107574
"10686","FBgn0259175",0.00403165785260744,0.46018876438912,0.00135892667781759
"6220","FBgn0035815",0.00266904066912231,0.460204783749303,0.000899597144788565
"7493","FBgn0037896",0.00124995330633472,0.460496327400592,0.000420951561151771
