,x
1309,FBgn0015509
1310,FBgn0015513
1311,FBgn0015519
1312,FBgn0015520
1313,FBgn0015521
1314,FBgn0015522
1315,FBgn0015524
1316,FBgn0015527
1317,FBgn0015541
1318,FBgn0015543
1319,FBgn0015544
1320,FBgn0015546
1321,FBgn0015550
1322,FBgn0015553
1323,FBgn0015558
1324,FBgn0015561
1325,FBgn0015568
1326,FBgn0015569
1327,FBgn0015570
1328,FBgn0015571
1329,FBgn0015572
1330,FBgn0015575
1331,FBgn0015576
1332,FBgn0015577
1333,FBgn0015582
1334,FBgn0015584
1335,FBgn0015589
1336,FBgn0015591
1337,FBgn0015600
1338,FBgn0015602
1339,FBgn0015609
1340,FBgn0015614
1341,FBgn0015615
1342,FBgn0015618
1343,FBgn0015621
1344,FBgn0015622
1345,FBgn0015623
1346,FBgn0015625
1347,FBgn0015663
1348,FBgn0015664
1349,FBgn0015721
1350,FBgn0015737
1351,FBgn0015754
1352,FBgn0015756
1353,FBgn0015765
1354,FBgn0015766
1355,FBgn0015772
1356,FBgn0015773
1357,FBgn0015774
1358,FBgn0015776
1359,FBgn0015777
1360,FBgn0015778
1361,FBgn0015781
